"ObsID"	"Town_Region"	"Village"	"Year"	"Latitude"	"Longitude"	"Country"	"NumPosVirus"	"NumTestVirus"	"PropVirus"	"Virus_Diagnostic_Method"	"NumPosAb"	"NumTestAb"	"PropAb"	"Ab_Diagnostic_Method"	"Antibody_Target"	"Genus"	"Species"	"lat-lon-source"	"Source"	"Citation"	"DOI"	"Bibtex"	"Survey_Notes"	"Housing_Notes"
1	"Faranah"	"Bantou"	"2002-2004"	10.05083333	-10.58722222	"Guinea"	"NA"	"NA"	"NA"	"NA"	43	201	0.213930348	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
2	"Nzerekore"	"Bhoita"	"2002-2004"	8.086944444	-8.913888889	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	24	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
3	"Kankan"	"Franfina"	"2002-2004"	9.645277778	-8.945555556	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	70	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
4	"Pita"	"Gagal"	"2002-2004"	11.08361111	-12.2975	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	11	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
5	"Kindia"	"Gania"	"2002-2004"	10.06611111	-12.54083333	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
6	"Faranah"	"Gbetaya"	"2002-2004"	9.840833333	-11.04	"Guinea"	"NA"	"NA"	"NA"	"NA"	5	40	0.125	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
7	"Kindia"	"Kaali"	"2002-2004"	9.9275	-12.70361111	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
8	"NA"	"Khoneya"	"2002-2004"	10.14805556	-12.67583333	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
9	"Kankan"	"Kodoko"	"2002-2004"	10.49583333	-9.017777778	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	9	0	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
10	"Macenta"	"Macenta"	"2002-2004"	8.562777778	-9.488888889	"Guinea"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"IFA"	"IgG"	"Mastomys"	"natalensis"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"fichet2014lassa"	"NA"	"NA"
