"ObsID"	"Town_Region"	"Village"	"Date"	"Year"	"Month"	"Day"	"Latitude"	"Longitude"	"Country"	"Confidence"	"Status"	"NumPosAg"	"NumTestAg"	"PropAg"	"NumPosAb"	"NumTestAb"	"PropAb"	"Genus"	"Species"	"DiagnosticMethod"	"Target"	"lat-lon-source"	"Source"	"Citation"	"DOI"	"Human_Random_Survey"	"Notes"
1	"Duekoue "	"For√™t Class√©e"	"NA"	2000	"NA"	"NA"	6.66	-7.07	"Ivory Coast"	"high"	"positive"	"NA"	"NA"	"NA"	8	39	0.205128205	"Homo"	"sapiens"	"IFA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Akoua-Koffi_TerMeulen_2006"	"DO P, EH A. Détection des anticorps anti-virus de Lassa dans l’Ouest forestier de la Côte d’Ivoire. Médecine tropicale. 2006;66(5):465."	"NA"	"T"	"surveyed forest workers"
2	"Guiglo"	"Guiglo"	"NA"	2000	"NA"	"NA"	6.54	-7.48	"Ivory Coast"	"high"	"positive"	"NA"	"NA"	"NA"	33	124	0.266129032	"Homo"	"sapiens"	"IFA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Akoua-Koffi_TerMeulen_2006"	"DO P, EH A. Détection des anticorps anti-virus de Lassa dans l’Ouest forestier de la Côte d’Ivoire. Médecine tropicale. 2006;66(5):465."	"NA"	"T"	"surveyed forest workers"
3	"Nasarawa state/Lafia"	"Maimuna Clinic"	"NA"	"1992-1993"	"NA"	"NA"	8.48	8.52	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	2	17	0.117647059	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
4	"Nasarawa state/Lafia"	"Sir William's Clinic"	"NA"	"1992-1993"	"NA"	"NA"	8.48	8.52	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	3	11	0.272727273	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
5	"Nasarawa state/Lafia"	"Lafia General Hospital"	"NA"	"1992-1993"	"NA"	"NA"	8.48	8.52	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	11	55	0.2	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
6	"Maiduguri/Borno"	"University of Maiduguri Teaching Hospital"	"NA"	"1992-1993"	"NA"	"NA"	11.8261	13.1809	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	3	241	0.012448133	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
7	"Plateau state/Jos"	"University of Jos Teaching Hospital"	"NA"	"1992-1993"	"NA"	"NA"	9.92	8.9	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	0	4	0	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
8	"Plateau state/Jos"	"Evangel Hospital"	"NA"	"1992-1993"	"NA"	"NA"	9.92	8.9	"Nigeria"	"high"	"positive"	"NA"	"NA"	"NA"	49	224	0.21875	"Homo"	"sapiens"	"ELISA"	"IgG"	"Fichet-Calvet_Rogers_2009"	"Bajani_Tomori_1997"	"Bajani MD, Tomori O, Rollin PE, Harry TO, Bukbuk ND, Wilson L, Childs JE, Peters CJ, Ksiazek TG. A survey for antibodies to Lassa virus among health workers in Nigeria. Transactions of the Royal Society of Tropical Medicine and Hygiene. 1997 Jul 1;91(4):379-81."	"10.1016/S0035-9203(97)90247-9"	"F"	"Authors also tested IgM, but data are for entire country, not per location - 6 positive for 1.1% prev. All tested individuals were health care workers "
9	"Faranah"	"Gbetaya"	"NA"	"1996-1997"	"NA"	"NA"	9.84	-11.03	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.3	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
10	"Faranah"	"Sangoyah"	"NA"	"1996-1997"	"NA"	"NA"	9.72	-10.88	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.31	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
11	"Macenta"	"Bawa"	"NA"	"1996-1997"	"NA"	"NA"	8.56	-10.03	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.03	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
12	"Gueckedou"	"Fangamandou"	"NA"	"1996-1997"	"NA"	"NA"	8.5	-10.6	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.37	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
13	"Gueckedou"	"Owe Jiba"	"NA"	"1996-1997"	"NA"	"NA"	8.48	-10.44	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.33	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
14	"Gueckedou"	"Tekoulo"	"NA"	"1996-1997"	"NA"	"NA"	8.54	-10.01	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.08	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
15	"Kindia"	"Madina Oula"	"NA"	"1996-1997"	"NA"	"NA"	9.88	-12.45	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.23	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
16	"Kissidougou"	"Boue"	"NA"	"1996-1997"	"NA"	"NA"	9.01	-9.95	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.11	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
17	"Macenta"	"Lorlu"	"NA"	"1996-1997"	"NA"	"NA"	8.56	-10.02	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.13	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
18	"Yomou"	"Bamakama"	"NA"	"1996-1997"	"NA"	"NA"	7.72	-9.27	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.09	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
19	"Yomou"	"Waita"	"NA"	"1996-1997"	"NA"	"NA"	7.56	-9.26	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	"NA"	"NA"	0.04	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"Fichet-Calvet_Rogers_2009"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
20	"Kissidougou"	"Keredou"	"NA"	"1996-1997"	"NA"	"NA"	9.15	-9.94	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	"NA"	"NA"	0	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"EFC database"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
21	"Gueckedou"	"Nongowa"	"NA"	"1996-1997"	"NA"	"NA"	8.5902778	-10.4	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	"NA"	"NA"	0	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"EFC database"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
22	"Yomou"	"Komou"	"NA"	"1996-1997"	"NA"	"NA"	7.6677778	-9.2925	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	"NA"	"NA"	0	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"EFC database"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
23	"Lola"	"Bossou"	"NA"	"1996-1997"	"NA"	"NA"	7.645	-8.5097222	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	"NA"	"NA"	0	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"EFC database"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
24	"Lola"	"Thuo"	"NA"	"1996-1997"	"NA"	"NA"	7.5833333	-8.5	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	"NA"	"NA"	0	"Mastomys"	"NA"	"ELISA"	"Ag, IgG"	"EFC database"	"Demby_Inapogui_2001"	"Demby AH, Inapogui A, Kargbo K, Koninga J, Kourouma K, Kanu J, Coulibaly M, Wagoner KD, Ksiazek TG, Peters CJ, Rollin PE. Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals. Vector Borne and Zoonotic Diseases. 2001 Dec 1;1(4):283-97."	"10.1089/15303660160025912"	"F"	"Don't distinguish between Mastomys spp."
25	"Boffa"	"Bamba"	"NA"	"2002-2004"	"NA"	"NA"	10.00055556	-13.885	"Guinea"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
26	"Faranah"	"Bantou"	"NA"	"2002-2004"	"NA"	"NA"	10.05083333	-10.58722222	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	43	201	0.213930348	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
27	"Nzerekore"	"Bhoita"	"NA"	"2002-2004"	"NA"	"NA"	8.086944444	-8.913888889	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	0	24	0	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
28	"Kankan"	"Franfina"	"NA"	"2002-2004"	"NA"	"NA"	9.645277778	-8.945555556	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	0	70	0	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
29	"Pita"	"Gagal"	"NA"	"2002-2004"	"NA"	"NA"	11.08361111	-12.2975	"Guinea"	"high"	"negative"	"NA"	"NA"	"NA"	0	11	0	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
30	"Kindia"	"Gania"	"NA"	"2002-2004"	"NA"	"NA"	10.06611111	-12.54083333	"Guinea"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
31	"Faranah"	"Gbetaya"	"NA"	"2002-2004"	"NA"	"NA"	9.840833333	-11.04	"Guinea"	"high"	"positive"	"NA"	"NA"	"NA"	5	40	0.125	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
32	"Kindia"	"Kaali"	"NA"	"2002-2004"	"NA"	"NA"	9.9275	-12.70361111	"Guinea"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
33	"NA"	"Khoneya"	"NA"	"2002-2004"	"NA"	"NA"	10.14805556	-12.67583333	"Guinea"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"NA"	"Mastomys"	"natalensis"	"IFA"	"IgG"	"Fichet-Calvet_Becker-Ziaja_2014"	"Fichet-Calvet_Becker-Ziagja_2014"	"Fichet-Calvet E, Becker-Ziaja B, Koivogui L, Günther S. Lassa serology in natural populations of rodents and horizontal transmission. Vector-Borne and Zoonotic Diseases. 2014 Sep 1;14(9):665-74."	"10.1089/vbz.2013.1484"	"F"	"Other rodent species tested postive (Table1)"
