"Longitude","Latitude","Country","Village","Species","NumPosAg","NumTestAg","PropAg","NumPosAb","NumTestAb","PropAb","Source","DiagnosticMethod","Target","Human_Random_Survey","TotTest","TotPos","ArenaStat"
-7.07,6.66,"Ivory Coast","Forêt Classée","Homo sapiens",NA,NA,NA,8,39,0.205128205128205,"Akoua-Koffi_TerMeulen_2006","IFA","IgG",TRUE,39,8,1
-7.48,6.54,"Ivory Coast","Guiglo","Homo sapiens",NA,NA,NA,33,124,0.266129032258065,"Akoua-Koffi_TerMeulen_2006","IFA","IgG",TRUE,124,33,1
-9.325026136,7.652919162,"Guinea","Bamakama","Homo sapiens",NA,NA,NA,4,26,0.153846153846154,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,26,4,1
-10.516667,8.966667,"Guinea","Bandadou","Homo sapiens",NA,NA,NA,1,41,0.024390243902439,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,41,1,1
-9.182514379,7.368273797,"Guinea","Bemeye","Homo sapiens",NA,NA,NA,1,9,0.111111111111111,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,9,1,1
-9.224964689,7.721734525,"Guinea","Bowe centre","Homo sapiens",NA,NA,NA,8,30,0.266666666666667,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,30,8,1
-8.955102,7.346378,"Guinea","Diecke centre","Homo sapiens",NA,NA,NA,3,73,0.0410958904109589,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,73,3,1
-10.33170493,8.638230041,"Guinea","Fandou Bendou","Homo sapiens",NA,NA,NA,5,33,0.151515151515152,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,33,5,1
-8.588210029,7.731118438,"Guinea","Gogota","Homo sapiens",NA,NA,NA,0,6,0,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,6,0,0
-8.588210029,7.731118438,"Guinea","Gote Koly","Homo sapiens",NA,NA,NA,7,21,0.333333333333333,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,21,7,1
-8.397183631,7.987612064,"Guinea","Gueasso center","Homo sapiens",NA,NA,NA,1,11,0.0909090909090909,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,11,1,1
-10.60763195,8.362968589,"Guinea","Kelema","Homo sapiens",NA,NA,NA,1,23,0.0434782608695652,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,23,1,1
-8.566984874,7.85623728,"Guinea","Kokota","Homo sapiens",NA,NA,NA,16,51,0.313725490196078,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,51,16,1
-10.43176638,8.825908303,"Guinea","Koumoni","Homo sapiens",NA,NA,NA,2,40,0.05,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,40,2,1
-9.012713136,7.311970319,"Guinea","Kowi","Homo sapiens",NA,NA,NA,4,29,0.137931034482759,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,29,4,1
-8.582145699,8.009507861,"Guinea","Laine center","Homo sapiens",NA,NA,NA,2,37,0.0540540540540541,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,37,2,1
-9.264382835,7.358889884,"Guinea","Manangoya","Homo sapiens",NA,NA,NA,0,12,0,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,12,0,0
-8.588210029,7.731118438,"Guinea","Manga Bo","Homo sapiens",NA,NA,NA,0,19,0,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,19,0,0
-10.20738617,8.506855257,"Guinea","Mangala","Homo sapiens",NA,NA,NA,1,26,0.0384615384615385,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,26,1,1
-8.506341573,8.09709105,"Guinea","Morigbedou","Homo sapiens",NA,NA,NA,4,40,0.1,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,40,4,1
-9.109742417,7.293202492,"Guinea","Nawei","Homo sapiens",NA,NA,NA,10,53,0.188679245283019,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,53,10,1
-8.400215796,7.624767423,"Guinea","N’zoo center","Homo sapiens",NA,NA,NA,2,35,0.0571428571428571,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,35,2,1
-8.333508165,7.890644961,"Guinea","Pine","Homo sapiens",NA,NA,NA,15,36,0.416666666666667,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,36,15,1
-10.20738617,8.506855257,"Guinea","Sandia","Homo sapiens",NA,NA,NA,2,51,0.0392156862745098,"Kerneis_Koivogui_2009","IFA","IgG",TRUE,51,2,1
