"boot.i" "n.tree" "max.tree" "model.auc"
5 2650 1e+07 0.878472222222222
4 6300 1e+07 0.847222222222222
13 8700 1e+07 0.816568047337278
7 9700 1e+07 0.857988165680473
1 9850 1e+07 0.836734693877551
3 10650 1e+07 0.958677685950413
10 13500 1e+07 0.789940828402367
11 14850 1e+07 0.905325443786982
18 10300 1e+07 0.586805555555555
12 19000 1e+07 0.88671875
9 19850 1e+07 0.916666666666667
19 18250 1e+07 0.805555555555556
25 9350 1e+07 0.869897959183673
8 22850 1e+07 0.881944444444444
15 16150 1e+07 0.826446280991736
17 16500 1e+07 0.836805555555556
6 25050 1e+07 0.840236686390533
24 17450 1e+07 0.745562130177515
14 30300 1e+07 0.813775510204082
22 12300 1e+07 0.697916666666667
21 26250 1e+07 0.826530612244898
2 34400 1e+07 0.956632653061224
20 21850 1e+07 0.760204081632653
16 9150 1e+07 0.791666666666667
23 37800 1e+07 0.788888888888889
