"boot.i" "n.tree" "max.tree" "model.auc"
1 2150 1e+07 0.837278106508876
3 2250 1e+07 0.819444444444444
5 2350 1e+07 0.900826446280992
7 2500 1e+07 0.993055555555556
13 2950 1e+07 0.780612244897959
12 3250 1e+07 0.82
4 5150 1e+07 0.98
17 4800 1e+07 0.73469387755102
2 7950 1e+07 0.916666666666667
6 8300 1e+07 0.875
18 6750 1e+07 0.739669421487603
21 10000 1e+07 0.905
8 12450 1e+07 0.96
16 5050 1e+07 0.884297520661157
14 12700 1e+07 0.714285714285714
15 12100 1e+07 0.895833333333333
19 13250 1e+07 0.81
10 15700 1e+07 0.933884297520661
24 2350 1e+07 0.81
9 19350 1e+07 0.881944444444444
11 20200 1e+07 0.901234567901235
22 10400 1e+07 0.78125
20 15900 1e+07 0.807692307692308
25 11550 1e+07 0.942148760330578
23 22600 1e+07 0.71
