"boot.i" "n.tree" "max.tree" "model.auc"
8 1000 1e+07 0.87037037037037
5 1500 1e+07 0.567901234567901
22 1500 1e+07 0.836734693877551
10 5050 1e+07 0.851851851851852
3 5800 1e+07 0.801652892561983
9 6750 1e+07 0.58
7 7650 1e+07 0.772727272727273
23 4050 1e+07 0.81
6 11300 1e+07 0.755102040816327
19 10950 1e+07 0.859375
21 5550 1e+07 0.697530864197531
17 9100 1e+07 0.861111111111111
4 14450 1e+07 0.728395061728395
18 1050 1e+07 1
11 15750 1e+07 0.580246913580247
25 1450 1e+07 0.722222222222222
24 14400 1e+07 0.622448979591837
12 20300 1e+07 0.94
14 22000 1e+07 0.659722222222222
13 24250 1e+07 0.847222222222222
1 25750 1e+07 0.66
20 24350 1e+07 0.723140495867769
15 14000 1e+07 0.798611111111111
2 44550 1e+07 0.67
16 8900 1e+07 0.595
