"boot.i" "n.tree" "max.tree" "model.auc" "model.acc" "model.ll" "null.ll" "mcr2" "adj.acc"
4 1800 1e+07 0.765432098765432 0.722222222222222 -9.30031104788372 -12.476649250079 0.254582631805184 0.444444444444444
14 1850 1e+07 0.965277777777778 0.875 -8.79074174208534 -16.6355323334387 0.471568353456578 0.75
7 3300 1e+07 0.917355371900826 0.863636363636364 -8.46457306267857 -15.2492379723188 0.444918291783242 0.727272727272727
18 1450 1e+07 0.9375 0.9375 -6.14105330194105 -11.0903548889591 0.446270803465928 0.875
12 5000 1e+07 0.86 0.85 -8.51646045922122 -13.8629436111989 0.38566723647773 0.7
9 5800 1e+07 0.79 0.8 -10.7502320414437 -13.8629436111989 0.224534677270178 0.6
1 8050 1e+07 0.78 0.7 -12.7190868977638 -13.8629436111989 0.0825118203980204 0.4
10 8500 1e+07 0.833333333333333 0.833333333333333 -10.1199853439679 -12.476649250079 0.18888596279936 0.666666666666667
13 10350 1e+07 0.659722222222222 0.708333333333333 -20.466928162642 -16.6355323334387 -0.230313990103092 0.416666666666667
6 11250 1e+07 0.897959183673469 0.785714285714286 -5.82729544028794 -9.70406052783923 0.399499269035837 0.571428571428571
5 13350 1e+07 0.709876543209877 0.722222222222222 -14.3457479682013 -12.476649250079 -0.149807747309272 0.444444444444444
21 10750 1e+07 0.91358024691358 0.888888888888889 -7.52930952719574 -12.476649250079 0.396527915766482 0.777777777777778
19 1500 1e+07 0.890625 0.9375 -5.97752163916018 -11.0903548889591 0.461016198398571 0.875
23 11700 1e+07 0.83 0.85 -11.8282102797865 -13.8629436111989 0.146774984338007 0.7
2 17350 1e+07 0.83 0.8 -11.680021520109 -13.8629436111989 0.157464543773115 0.6
8 19600 1e+07 0.925925925925926 0.888888888888889 -5.58795314333458 -12.476649250079 0.552127095077295 0.777777777777778
20 11150 1e+07 0.909090909090909 0.863636363636364 -8.46128805741297 -15.2492379723188 0.445133712728968 0.727272727272727
3 20550 1e+07 0.87603305785124 0.863636363636364 -10.6491559399548 -15.2492379723188 0.301659797080634 0.727272727272727
11 20950 1e+07 0.679012345679012 0.722222222222222 -18.2714420794146 -12.476649250079 -0.464451048770079 0.444444444444444
24 18350 1e+07 0.897959183673469 0.857142857142857 -4.5893343927329 -9.70406052783923 0.527070716473077 0.714285714285714
22 8400 1e+07 0.918367346938776 0.785714285714286 -5.39891806535317 -9.70406052783923 0.443643405782082 0.571428571428571
17 10900 1e+07 0.861111111111111 0.75 -5.39968540380505 -8.31776616671934 0.350825053797495 0.5
25 10750 1e+07 0.864197530864198 0.833333333333333 -10.4712164425199 -12.476649250079 0.160734887016751 0.666666666666667
15 25250 1e+07 0.805555555555556 0.833333333333333 -14.7171847337238 -16.6355323334387 0.115316273700416 0.666666666666667
16 23000 1e+07 0.95 0.85 -5.98600438485217 -13.8629436111989 0.568201057961709 0.7
