"boot.i" "n.tree" "max.tree" "model.oob.auc" "model.oob.acc" "model.oob.ll" "null.oob.ll" "model.oob.mcr2" "model.oob.adj.acc"
1 8050 1e+07 0.78 0.7 -12.7190868977638 -13.8629436111989 0.0825118203980204 0.4
2 17400 1e+07 0.83 0.8 -11.6882440747754 -13.8629436111989 0.156871411831085 0.6
4 1800 1e+07 0.765432098765432 0.722222222222222 -9.30031104788372 -12.476649250079 0.254582631805184 0.444444444444444
3 20550 1e+07 0.87603305785124 0.863636363636364 -10.6491559399548 -15.2492379723188 0.301659797080634 0.727272727272727
6 11250 1e+07 0.918367346938776 0.785714285714286 -5.79743288079062 -9.70406052783923 0.402576595214054 0.571428571428571
5 13350 1e+07 0.709876543209877 0.722222222222222 -14.3457479682013 -12.476649250079 -0.149807747309272 0.444444444444444
7 3300 1e+07 0.917355371900826 0.863636363636364 -8.46457306267857 -15.2492379723188 0.444918291783242 0.727272727272727
9 5800 1e+07 0.79 0.8 -10.8078641654435 -13.8629436111989 0.220377398295658 0.6
8 19550 1e+07 0.925925925925926 0.888888888888889 -5.58263136961702 -12.476649250079 0.552553633774576 0.777777777777778
10 9650 1e+07 0.827160493827161 0.833333333333333 -10.2326498831932 -12.476649250079 0.179855931020234 0.666666666666667
12 5000 1e+07 0.86 0.85 -8.51646045922122 -13.8629436111989 0.38566723647773 0.7
14 1850 1e+07 0.965277777777778 0.875 -8.79074174208534 -16.6355323334387 0.471568353456578 0.75
11 20750 1e+07 0.679012345679012 0.722222222222222 -18.1194254671185 -12.476649250079 -0.452266959176058 0.444444444444444
13 10350 1e+07 0.659722222222222 0.708333333333333 -20.463999251278 -16.6355323334387 -0.230137926523926 0.416666666666667
16 22900 1e+07 0.95 0.85 -5.98204424671173 -13.8629436111989 0.568486721544532 0.7
18 1450 1e+07 0.9375 0.9375 -6.14105330194105 -11.0903548889591 0.446270803465928 0.875
20 11150 1e+07 0.909090909090909 0.863636363636364 -8.46128805741297 -15.2492379723188 0.445133712728968 0.727272727272727
15 25250 1e+07 0.805555555555556 0.833333333333333 -14.7163469333557 -16.6355323334387 0.115366635801928 0.666666666666667
22 8600 1e+07 0.918367346938776 0.785714285714286 -5.3995977552045 -9.70406052783923 0.443573363983663 0.571428571428571
17 10900 1e+07 0.861111111111111 0.75 -5.39968540380505 -8.31776616671934 0.350825053797495 0.5
19 1500 1e+07 0.890625 0.9375 -5.97752163916018 -11.0903548889591 0.461016198398571 0.875
24 18400 1e+07 0.897959183673469 0.857142857142857 -4.61282707298982 -9.70406052783923 0.524649804094231 0.714285714285714
21 10750 1e+07 0.91358024691358 0.888888888888889 -7.58856679060946 -12.476649250079 0.391778462429614 0.777777777777778
23 11700 1e+07 0.83 0.85 -11.8233288644662 -13.8629436111989 0.147127104021765 0.7
25 10750 1e+07 0.864197530864198 0.833333333333333 -10.4704584521419 -12.476649250079 0.160795639736721 0.666666666666667
