"Species";"Latitude";"Longitude";"Locality";"Country";"Diagnosis";"Confidence";"Reference";"Coord_Method";"Coord_Method_Name";"Issues"
"Mastomys natalensis";-15.15;13.3667;"Tchivinguiro";"Angola";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-14.5;13.5;"Biballa";"Angola";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-13.35;13.8;"Chongoroi";"Angola";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";7;1.95;"Adjassagon (= Adiassagon)";"Benin";"morpho + PCR cytb";"high";"Durnez, pers. com";"NA";;
"Mastomys natalensis";7.25;2.45;"Agonve ";"Benin";"morpho + PCR cytb";"high";"Durnez, pers. com";"NA";;
"Mastomys natalensis";6.81;2.37;"Ahozonnoude ";"Benin";"morpho + PCR cytb";"high";"Durnez, pers. com";"NA";;
"Mastomys natalensis";6.74;2.38;"Sedje Houegoudo (=Sedje)";"Benin";"morpho + PCR cytb";"high";"Durnez, pers. com";"NA";;
"Mastomys natalensis";6.92;2.17;"La Lama";"Benin";"morpho + PCR cytb";"high";"Nicolas, pers. com";"NA";;
"Mastomys natalensis";9.05;2.23;"Terou";"Benin";"morpho + PCR cytb";"high";"Nicolas, pers. com";"NA";;
"Mastomys natalensis";9.03;2.05;"Wannou";"Benin";"morpho + PCR cytb";"high";"Nicolas, pers. com";"NA";;
"Mastomys natalensis";6.98;2.15;"Koto";"Benin";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";7.1;1.86;"Lanta";"Benin";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.4;2.2;"Mekrou";"Benin";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.73;1.38;"Tianwakassa";"Benin";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.71;1.22;"Tiele";"Benin";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";7.13;2.45;"Houedja";"Benin";"morpho";"low";"Durnez, pers. com";"NA";;
"Mastomys natalensis";-19.17;23.38;"Moremi game reserve";"Botswana";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-21.303869;24.764229;"Dow lake";"Botswana";"morpho";"low";"BeBIF Provider";"NA";"http://earth-info.nga.mil/gns/html/namefiles.htm";
"Mastomys natalensis";-20.33;23.82;"Gué Makalamabedi";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-18.3;21.8;"Mohembo";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-21.05;24.42;"Rakops";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-18.67;24.5;"Saile camp. Chobe";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-18.62;24.07;"Savuti channel bridge";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-20.15;22.45;"Tsau";"Botswana";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";11.2167;-4.4333;"Nasso";"Burkina Faso";"morpho + chrom";"high";"Tervuren Museum";"NA";;
"Mastomys natalensis";14.63;0.03;"Markoye";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.73;-4.13;"Bossora-Daga";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.7;-4.81;"Karfiguela";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.18;-1.63;"Nazinga";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.13;-3.46;"Toma-île";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.1;-4.23;"Koro";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.61;-4.8;"Kourouma";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.35;-1.53;"Ouagadougou";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11;0.98;"Pendjari";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.33;-1.35;"Pissy";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.9;1.86;"Ponougou";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.86;1.86;"Tansanga";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.12;1.76;"Tapoa";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.76;1.7;"Yobri";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.85;-4.1;"Dounonso";"Burkina Faso";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.5333;-0.4833;"Bagre";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";12.3167;-1.7;"Bazoulle";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";11.2;-4.3;"Bobodioulasso";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.6167;-5.15;"Douna";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";12.25;-1.3833;"Mogtedo";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.2833;-4.9167;"Niangoloko";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";13.1667;-2.0833;"Rima";"Burkina Faso";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.7;29.5667;"Tora";"Burundi";"morpho + chrom";"high";"Tervuren Museum";"NA";;
"Mastomys natalensis";-3.5333;29.65;"Kisozi station";"Burundi";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.4833;29;"Uvira usumbura";"Burundi";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.2;29.3;"Imbo";"Burundi";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.62;14.42;"Kongola";"Cameroon";"morpho + chrom + PCR cytb";"high";"Dobigny et al. 2008";"NA";;
"Mastomys natalensis";8.3833;14.5167;"Koum";"Cameroon";"morpho + chrom";"high";"Tervuren Museum";"NA";;
"Mastomys natalensis";10.87;14.93;"Maga";"Cameroon";"morpho + chrom + PCR cytb";"high";"Dobigny et al. 2008";"NA";;
"Mastomys natalensis";12.5;14.6;"Yik";"Cameroon";"morpho + chrom + PCR cytb";"high";"Dobigny et al. 2008";"NA";;
"Mastomys natalensis";3.1667;12.3333;"Bitye riv ja";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.1167;14.3167;"Djerkoka";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.8333;14.7;"Djohong";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.3833;11.4667;"Ebogo";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.8;10.1333;"Edea";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.1;12.4833;"Galim";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.5;15.2;"Gueme";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.4167;14.6667;"Isiri";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.3833;14.35;"Kali";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";4.6667;14.5833;"Kombetiko";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.8667;13.8833;"Koza";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";6.3333;12.8;"Mbakaou";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";4.2333;13.9833;"Mieri";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.6167;13.5667;"Mogode";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.75;13.8;"Mokolo";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";4.2667;14.0333;"Ngelebak";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";4.05;11.55;"Nkometou";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.7;10.6833;"Nkounden";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.7167;13.6833;"Sir";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.1667;14.3;"Tello";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.0833;12.9667;"Touroua";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";11.4167;14.5667;"Waza";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";10.3333;15.2333;"Yagoua";"Cameroon";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";5.17;18.18;"Bozo";"CAR";"morpho + Lassa IFA (neg)";"low";"Gonzalez et al. 1983";"NA";;
"Mastomys natalensis";4.2;18.5;"Botambi";"CAR";"morpho + Lassa IFA (neg)";"low";"Gonzalez et al. 1983";"NA";;
"Mastomys natalensis";4.6;18.32;"Bouboui";"CAR";"morpho + Lassa IFA (neg)";"low";"Gonzalez et al. 1983";"NA";;
"Mastomys natalensis";4.57;18.18;"Gomoka";"CAR";"morpho + Lassa IFA (neg)";"low";"Gonzalez et al. 1983";"NA";;
"Mastomys natalensis";13.46;14.71;"Bol";"Chad";"morpho + chrom";"high";"Granjon & Dobigny 2003";"NA";;
"Mastomys natalensis";12.83;14.78;"Karal";"Chad";"morpho + chrom + PCR cytb";"high";"Dobigny et al. 2008";"NA";;
"Mastomys natalensis";13.06;15.55;"Boltram";"Chad";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";9.27;14.68;"Doué";"Chad";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.98;18.03;"Mataya";"Chad";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";-4.259167;15.284722;"Brazzaville";"Congo";;"low";;"NA";"http://earth-info.nga.mil/gns/html/namefiles.htm";
"Mastomys natalensis";-0.0667;25.2833;"Amadjabe";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.3;27.5833;"Avakubi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.8333;25.25;"Badumbi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.1667;27.65;"Bafwaboka";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.7167;27.35;"Bafwadi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.3667;25.7333;"Bambesa";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.55;25.3833;"Banalia";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.8333;18.4;"Bokoro";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.75;22.4167;"Bokungu";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.5;21.05;"Bongandanga lopori";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.45;27.6167;"Bosabangi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.5833;25.8667;"Bukama school";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";2.7833;24.8333;"Buta";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";3.1667;19.25;"Bwamanda";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-9.8333;25.5333;"Funda biabo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.8667;27.5667;"Fundi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.8833;22.4333;"Hemptinne st benoit luluabourg";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.9667;26.7833;"Jadotville";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-6.3333;26.9167;"Kabalo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-8.0167;23.0167;"Kabuya mwadia";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.8167;26.1167;"Kando";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-10.3;26.0667;"Kansenia";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.5167;26.5833;"Kasongo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.0333;18.8167;"Kikwit";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.0667;18.8667;"Kikwit-Bundi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-5.066;18.914;"Kilombo";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-4.9772;18.7745;"Kinzambi";"Congo Kinshasa";"morpho";"high";"BeBIF Provider";"NA";;
