"Country"	"Year"	"Locality"	"Diagnosis"	"Reference"	"Full_Reference"	"DOI"	"bibtex"	"Latitude"	"Longitude"	"Genus"	"Species"
"Senegal"	2001	"Bandafassi"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.53"	"-12.32"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Bembou"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.83"	"-11.88"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Diakhaba"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.81"	"-12.07"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Fadiga"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.55"	"-12.20"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Kedougou"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.48"	"-11.95"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Ndebou"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.52"	"-12.43"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Ngari"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.63"	"-12.25"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Niemenike"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"13.02"	"-12.55"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Samekouta"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.60"	"-11.67"	"Mastomys"	"Mastomys natalensis"
"Senegal"	2001	"Tomboronkoto"	"morpho + PCR cytb"	"Brouat et al. 2007"	"Brouat C, Loiseau A, Kane M, Bâ K, Duplantier JM. Population genetic structure of two ecologically distinct multimammate rats: the commensal Mastomys natalensis and the wild Mastomys erythroleucus in southeastern Senegal. Molecular ecology. 2007 Jul;16(14):2985-97."	"10.1111/j.1365-294X.2007.03353.x"	"brouat2007population"	"12.80"	"-12.29"	"Mastomys"	"Mastomys natalensis"
"Guinea"	"2002-2004"	"Gania"	"morpho + PCR cytb"	"Colangelo, 2013"	"Colangelo, Paolo, et al. \""A mitochondrial phylogeographic scenario for the most widespread African rodent, Mastomys natalensis.\"" Biological Journal of the Linnean Society 108.4 (2013): 901-916."	"10.1111/bij.12013"	"colangelo2013mitochondrial"	10.06611111	-12.54083333	"Mastomys"	"Mastomys natalensis"
"Niger"	2004	"Tiloa"	"morpho + PCR cytb"	"Colangelo, 2013"	"Colangelo, Paolo, et al. \""A mitochondrial phylogeographic scenario for the most widespread African rodent, Mastomys natalensis.\"" Biological Journal of the Linnean Society 108.4 (2013): 901-916."	"10.1111/bij.12013"	"colangelo2013mitochondrial"	14.0901	2.1985	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Ahouakro"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	6.128333333	-4.8925	"Mastomys"	"Mastomys natalensis"
