"species" "mean" "sd" "medianCount"
"Mus musculus" 0.710038288222308 0.198157657170286 1
"Gerbillus agag" 0.694143526930983 0.00138230988677944 0
"Dasymys rufulus" 0.65565874888118 0.272399449723699 1
"Hybomys planifrons" 0.650813020238917 0.579296705865717 0
"Lemniscomys striatus" 0.642255494363834 0.171458023491386 2
"Gerbilliscus kempii" 0.596751317390765 0.236120481302116 1
"Mastomys natalensis" 0.556519701078578 0.252817729246706 68
"Praomys rostratus" 0.548145400882762 0.252973947165596 1
"Mastomys coucha" 0.533387721314158 0.199505277731111 0
"Malacomys edwardsi" 0.531300708108803 0.302087292536187 3
"Uranomys ruddi" 0.496058925010992 0.179936822097547 2
"Mastomys erythroleucus" 0.489985804998113 0.305068732999469 3
"Rattus rattus" 0.486244197517381 0.248058056352199 4
"Taterillus gracilis" 0.483080710796547 0.225694414121701 3
"Gerbillus nigeriae" 0.478305434492581 0.16338227697071 1
"Hylomyscus pamfi" 0.467865611114565 0.190210079052385 1
"Praomys daltoni" 0.465962177235034 0.240982398193253 3
"" 0.454927402047017 0.23880997597112 8
"Lophuromys sikapusi" 0.431183865096008 0.246160089123272 3
"Mus setulosus" 0.410855264308703 0.235429301394181 1
"Praomys tullbergi" 0.396543208393465 0.252149283610659 5
"Mus musculoides" 0.395858787231437 0.175236173209981 1
"Mus minutoides" 0.395354576653866 0.263433319983498 2
"Arvicanthis niloticus" 0.388632980853176 0.26206991470077 2
"Praomys derooi" 0.360691428185889 0.146668861186197 1
"Mus baoulei" 0.338380946022739 0.0956954435000402 1
"Lemniscomys zebra" 0.335860222148916 0.133728482063789 1
"Gerbilliscus guineae" 0.335673831492056 0.241731755295567 1
"Hylomyscus alleni" 0.292027549309163 0.173479966180399 2
"Stochomys longicaudatus" 0.266134378460628 0.166257319853698 1
"Hybomys trivirgatus" 0.241246801745115 0.0408830635940046 0
"Praomys misonnei" 0.213294196507951 0.112779023110717 5
"Acomys cineraceus" 0.102444487424032 0.011915410761589 0
