"boot.i" "n.tree" "max.tree" "model.oob.auc" "model.oob.auc.pwd" "n.oob.auc" "n.oob.auc.pwd"
11 1850 1e+07 0.655714285714286 0.591530612244898 140 140
5 3050 1e+07 0.635015608740895 0.615244536940687 124 124
13 2950 1e+07 0.680776014109347 0.592844545225498 126 126
9 3950 1e+07 0.70327868852459 0.641225477022306 122 122
4 4400 1e+07 0.716911764705882 0.588884083044983 136 136
8 4950 1e+07 0.655029296875 0.63916015625 128 128
12 5450 1e+07 0.679063360881543 0.628787878787879 132 132
10 6500 1e+07 0.691661415668977 0.612161310649023 138 138
6 7950 1e+07 0.705711263881544 0.70837669094693 124 124
7 8850 1e+07 0.742704388505235 0.671864557807975 134 134
2 9200 1e+07 0.651297556059461 0.54522549760645 126 126
18 5300 1e+07 0.636622222222222 0.614044444444444 150 150
1 9500 1e+07 0.684095125653567 0.58357227188396 154 154
3 9550 1e+07 0.648919581198485 0.698151035865449 134 134
22 7150 1e+07 0.76937618147448 0.656584751102709 138 138
15 2400 1e+07 0.627865961199295 0.619047619047619 126 126
25 10400 1e+07 0.77734693877551 0.645102040816326 140 140
20 5800 1e+07 0.765151515151515 0.619605142332415 132 132
23 9550 1e+07 0.588741860953581 0.533921445074564 138 138
24 7550 1e+07 0.710985087166562 0.637261079605125 138 138
19 10900 1e+07 0.734645328719723 0.624567474048443 136 136
16 5350 1e+07 0.630877452795261 0.596420745069394 148 148
17 6150 1e+07 0.711072664359862 0.73507785467128 136 136
21 10400 1e+07 0.635984923626265 0.622197976591946 142 142
14 18950 1e+07 0.632042253521127 0.615354938271605 144 144
