"boot.i" "n.tree" "max.tree" "model.oob.auc" "model.oob.auc.pwd"
13 2600 1e+07 0.716981132075472 0.718460969293378
11 2750 1e+07 0.79316288422867 0.773713945881653
9 3900 1e+07 0.6936 0.6844
7 4200 1e+07 0.711735537190083 0.687344028520499
10 5500 1e+07 0.695206611570248 0.67801652892562
2 6650 1e+07 0.697520661157025 0.659574468085106
4 7000 1e+07 0.743921206525085 0.675598086124402
14 7400 1e+07 0.760998810939358 0.725439167208848
3 8400 1e+07 0.714030915576694 0.63436385255648
5 8350 1e+07 0.714710743801653 0.677873070325901
6 8500 1e+07 0.734097633136095 0.647035256410256
1 8600 1e+07 0.703857421875 0.642708333333333
12 9700 1e+07 0.601084183673469 0.623100303951368
25 7250 1e+07 0.718043995243758 0.643416927899687
21 6400 1e+07 0.739166666666667 0.695
15 1750 1e+07 0.7896 0.684347826086956
8 10750 1e+07 0.711355529131986 0.647962382445141
17 3200 1e+07 0.771105826397146 0.727330779054917
23 8900 1e+07 0.736732570239334 0.739954725523486
20 5000 1e+07 0.690688775510204 0.657206632653061
22 2400 1e+07 0.725326991676576 0.628822381262199
16 7700 1e+07 0.755979575382961 0.707067992475141
24 9000 1e+07 0.69547193877551 0.674450549450549
19 6150 1e+07 0.735303170206217 0.708502024291498
18 8800 1e+07 0.716205321150229 0.666861826697892
