"boot.i" "n.tree" "max.tree" "model.oob.auc" "model.oob.auc.pwd" "model.oob.acc" "model.oob.acc.pwd" "model.oob.adj.acc" "null.oob.ll" "model.oob.ll" "model.oob.mcr2" "model.oob.adj.acc.pwd" "null.oob.ll.pwd" "model.oob.ll.pwd" "model.oob.mcr2.pwd"
2 3000 1e+07 0.716363636363636 0.637685950413223 0.645454545454546 0.563636363636364 0.290909090909091 -76.246189861594 -70.0646642929171 0.0810732389368951 0.127272727272727 -76.246189861594 -79.5691040585519 -0.0435813803022795
4 5350 1e+07 0.71683594952293 0.644976076555024 0.692982456140351 0.616071428571429 0.385964912280702 -79.0187785838338 -83.9671328307317 -0.0626225099347504 0.218181818181818 -77.6324842227139 -90.1940209905026 -0.161807739293153
1 12650 1e+07 0.67041015625 0.625589622641509 0.6484375 0.598290598290598 0.296875 -88.722839111673 -105.436275750856 -0.188378063715318 0.113207547169811 -81.0982201255136 -102.621672417415 -0.265399810977239
6 8150 1e+07 0.662721893491124 0.668669871794872 0.663461538461538 0.66 0.326923076923077 -72.0873067782343 -84.1627440500047 -0.167511283351432 0.291666666666667 -69.3147180559945 -81.0513480063262 -0.169323778260924
3 10700 1e+07 0.678061831153389 0.641123882503193 0.663793103448276 0.616071428571429 0.327586206896552 -80.4050729449537 -102.093684259673 -0.269741827478573 0.203703703703704 -77.6324842227139 -105.863955891596 -0.363655394407978
8 9900 1e+07 0.758026159334126 0.750507099391481 0.689655172413793 0.715596330275229 0.379310344827586 -80.4050729449537 -75.0355460678925 0.0667809465297947 0.392156862745098 -75.553042681034 -72.0096380584764 0.0468995621727238
5 9150 1e+07 0.678347107438017 0.568350168350168 0.618181818181818 0.577981651376147 0.236363636363636 -76.246189861594 -98.6686063435978 -0.294079173303035 0.148148148148148 -75.553042681034 -127.910358389525 -0.69298752043025
10 7400 1e+07 0.712066115702479 0.693553719008264 0.709090909090909 0.709090909090909 0.418181818181818 -76.246189861594 -80.7699044497471 -0.059330369115687 0.418181818181818 -76.246189861594 -84.1617109825718 -0.103815300611696
7 4150 1e+07 0.671900826446281 0.642067736185383 0.636363636363636 0.60377358490566 0.272727272727273 -76.246189861594 -81.3365624258727 -0.066762320497838 0.176470588235294 -73.4736011393542 -81.57017867697 -0.110197096808409
12 7750 1e+07 0.698022959183673 0.600074404761905 0.607142857142857 0.557692307692308 0.214285714285714 -77.6324842227139 -77.8237403243346 -0.00246360919060717 0.0416666666666667 -72.0873067782343 -85.0212606238656 -0.179420683386336
9 6800 1e+07 0.7672 0.674042553191489 0.72 0.639175257731959 0.44 -69.3147180559945 -62.9131539538859 0.0923550478404499 0.25531914893617 -67.2352765143147 -74.5000294382358 -0.108049721820872
14 6400 1e+07 0.774078478002378 0.689655172413793 0.758620689655172 0.699115044247788 0.517241379310345 -80.4050729449537 -67.201407239516 0.164214336506816 0.381818181818182 -78.3256314032738 -78.2040316471267 0.00155248995722845
11 5500 1e+07 0.748060902039644 0.719322033898305 0.686440677966102 0.678899082568807 0.372881355932203 -81.7913673060735 -78.408250031652 0.0413627670724888 0.3 -75.553042681034 -75.6284480646689 -0.000998045624095001
13 3100 1e+07 0.752936988252047 0.701193685021178 0.707547169811321 0.686274509803922 0.415094339622642 -73.4736011393542 -66.8980095051579 0.0894959758638302 0.346938775510204 -70.7010124171144 -70.223820995498 0.00674942840706683
16 6200 1e+07 0.657887664606289 0.639056658038539 0.631147540983607 0.584745762711864 0.262295081967213 -84.5639560283133 -95.1176317377516 -0.124801111550467 0.140350877192982 -81.7913673060735 -97.5164765092937 -0.19225878868579
15 4200 1e+07 0.7664 0.703265306122449 0.72 0.686868686868687 0.44 -69.3147180559945 -61.2988312818333 0.115644800974098 0.36734693877551 -68.6215708754346 -67.7269143683299 0.0130375404656468
18 7550 1e+07 0.673743617307176 0.701961838215533 0.647540983606557 0.688524590163934 0.295081967213115 -84.5639560283133 -97.114047371709 -0.148409463473938 0.377049180327869 -84.5639560283133 -88.157272776088 -0.0424922971504735
17 8350 1e+07 0.682520808561237 0.618737800910865 0.672413793103448 0.594594594594595 0.344827586206897 -80.4050729449537 -95.6262591613088 -0.189306291989509 0.150943396226415 -76.9393370421539 -102.595057290872 -0.333453877236575
20 6600 1e+07 0.725127551020408 0.716931216931217 0.6875 0.672727272727273 0.375 -77.6324842227139 -73.6377586881264 0.0514568814148378 0.333333333333333 -76.246189861594 -74.0663950897605 0.0285889009770897
19 5650 1e+07 0.776854416743613 0.673558897243108 0.728070175438597 0.672566371681416 0.456140350877193 -79.0187785838338 -72.4664926651813 0.0829206175554961 0.339285714285714 -78.3256314032738 -91.589379841199 -0.169341098185782
21 5400 1e+07 0.741111111111111 0.711944444444444 0.7 0.666666666666667 0.4 -83.1776616671934 -77.3849555468176 0.0696425699432786 0.333333333333333 -83.1776616671934 -81.2357772492637 0.0233462251643892
22 9750 1e+07 0.757728894173603 0.727162734422263 0.732758620689655 0.71304347826087 0.46551724137931 -80.4050729449537 -77.1283245893189 0.0407530051975464 0.421052631578947 -79.7119257643937 -82.8399234050485 -0.039241275513783
24 6550 1e+07 0.705676020408163 0.720025510204082 0.660714285714286 0.669642857142857 0.321428571428571 -77.6324842227139 -74.3016133295627 0.042905633208844 0.339285714285714 -77.6324842227139 -72.2402735283114 0.0694581752521685
23 15550 1e+07 0.704214360041623 0.672727272727273 0.653225806451613 0.632478632478632 0.306451612903226 -85.9502503894332 -94.27243756066 -0.0968256303328918 0.218181818181818 -81.0982201255136 -95.400994827983 -0.176363607984656
25 6750 1e+07 0.75653983353151 0.748902821316614 0.724137931034483 0.707964601769911 0.448275862068966 -80.4050729449537 -75.940238087239 0.0555292681690792 0.4 -78.3256314032738 -74.0944930775962 0.0540198431838086
